image,prompt
img_0001.jpg,"analog clock showing 12:08"
img_0002.jpg,"analog clock showing 03:07"
img_0003.jpg,"analog clock showing 11:29"
img_0004.webp,"analog clock showing 03:00"
img_0005.jpg,"analog clock showing 08:22"
img_0006.avif,"analog clock showing 08:03"
img_0007.avif,"analog clock showing 03:00"
img_0008.avif,"analog clock showing 01:52"
img_0009.webp,"analog clock showing 10:41"
img_0010.png,"analog clock showing 12:08"
img_0011.jpeg,"analog clock showing 10:36"
img_0012.avif,"analog clock showing 09:10"
